Model,MALE,RMSLE,Iteration
NHITS,0.2707488585387871,0.6303065585647614,1
NLinear,0.32025232553929434,0.678254969975146,1
TiDE,0.31820372630885596,0.7182030046768701,1
NHITS,0.26990450413037637,0.6328976075585832,2
NLinear,0.29108141579463026,0.6699506082308709,2
TiDE,0.29422278780987515,0.6829991409540783,2
NHITS,0.27060891720691566,0.63230403970762,3
NLinear,0.28484726699731927,0.6701442312952813,3
TiDE,0.2861240037675225,0.6729208452924399,3
NHITS,0.26923913542093136,0.6320103318428375,4
NLinear,0.28398347312700756,0.670958565187977,4
TiDE,0.28407452395657035,0.6704994231579292,4
NHITS,0.2709003762174304,0.6328817755326956,5
NLinear,0.2836876186986484,0.6695970044674753,5
TiDE,0.2838369122364576,0.6703969736046961,5
NHITS,0.2707666210877216,0.6363588373770784,6
NLinear,0.2837450894637146,0.6710507016068901,6
TiDE,0.28372960203975134,0.6702418367744422,6
NHITS,0.2713428793412853,0.6350051794980279,7
NLinear,0.2834808683270509,0.6696824591705951,7
TiDE,0.28365302682945853,0.6700905517540502,7
NHITS,0.27133109009804995,0.637823205752954,8
NLinear,0.2834661062627527,0.6698302444061004,8
TiDE,0.28360691228364115,0.6699637723316034,8
NHITS,0.27176418536653313,0.6355815220362251,9
NLinear,0.28344917387062396,0.6699173365684112,9
TiDE,0.28357624144223625,0.6698596304535148,9
NHITS,0.2719819180940214,0.6393630681967974,10
NLinear,0.28343299169741776,0.6699715949002647,10
TiDE,0.283558135126689,0.6697758398910558,10
